,node,centrality,community,density,name
175,686,3,60,1.0,"kwock, l."
176,687,3,60,1.0,"feng, d."
177,688,3,60,1.0,"taylor, r.m."
178,685,3,60,1.0,"lee, y."
179,489,3,37,1.0,"sanchez, a."
180,491,3,37,1.0,"raya, l."
181,490,3,37,1.0,"diaz, f."
182,488,3,37,1.0,"rubio-sanchez, m."
183,220,3,40,1.0,"celes, w."
184,223,3,40,1.0,"barbosa, s.d."
185,222,3,40,1.0,"nascimento, d."
186,221,3,40,1.0,"ivson, p."
187,658,2,95,0.6,"bjork, s."
188,659,2,95,0.6,"redstrom, j."
189,191,2,95,0.6,"skog, t."
190,192,2,95,0.6,"ljungblad, s."
191,190,4,95,0.6,"holmquist, l.e."
192,910,2,23,0.6,"mao, y."
193,911,2,23,0.6,"dillon, j.v."
194,944,2,23,0.6,"cleveland, w.s."
195,943,2,23,0.6,"kidwell, p."
196,912,4,23,0.6,"lebanon, g."
197,1147,1,91,0.6,"ebert, j."
198,610,2,91,0.6,"kister, u."
199,205,2,91,0.6,"horak, t."
